Time,Speed,GPStrack,Latitude,Longitude,GPSalt,GPSsats
,,,,,,
0,0.013416,0,35.3122305,-80.74093633,221,sats
0.1,0.017888,0,35.31223017,-80.74093717,221.1,sats
0.2,0.08944,0,35.31222983,-80.740938,221.3,sats
0.3,0.042484,0,35.3122295,-80.7409385,221.4,sats
0.4,0.020124,0,35.31222917,-80.74093933,221.5,sats
0.5,0.210184,0,35.31222883,-80.74093983,221.7,sats
0.6,0.07826,0,35.31222833,-80.74094083,221.9,sats
0.7,0.107328,0,35.31222783,-80.74094167,222,sats
0.8,0.116272,0,35.31222767,-80.74094217,222.1,sats
0.9,0.026832,0,35.31222733,-80.74094283,222.3,sats
1,0.04472,0,35.31222717,-80.74094333,222.4,sats
1.1,0.038012,0,35.312227,-80.74094367,222.5,sats
1.2,0.093912,0,35.312227,-80.740944,222.5,sats
1.3,0.1118,0,35.312227,-80.74094433,222.6,sats
1.4,0.071552,0,35.31222683,-80.74094483,222.7,sats
1.5,0.138632,0,35.31222683,-80.74094517,222.8,sats
1.6,0.062608,0,35.31222683,-80.74094583,222.8,sats
1.7,0.073788,0,35.31222683,-80.74094617,222.9,sats
1.8,0.01118,0,35.31222683,-80.74094667,223,sats
1.9,0.073788,0,35.31222667,-80.740947,223,sats
2,0.029068,0,35.31222667,-80.74094733,223.1,sats
2.1,0.051428,0,35.31222667,-80.74094783,223.2,sats
2.2,0.062608,0,35.3122265,-80.74094817,223.3,sats
2.3,0.051428,0,35.3122265,-80.7409485,223.4,sats
2.4,0.073788,0,35.3122265,-80.74094917,223.4,sats
2.5,0.087204,0,35.3122265,-80.7409495,223.5,sats
2.6,0.062608,0,35.31222633,-80.74094983,223.6,sats
2.7,0.093912,0,35.3122265,-80.74095033,223.6,sats
2.8,0.102856,0,35.3122265,-80.74095067,223.7,sats
2.9,0.08944,0,35.3122265,-80.740951,223.8,sats
3,0.073788,0,35.31222633,-80.74095117,223.8,sats
3.1,0.049192,0,35.31222633,-80.74095133,223.9,sats
3.2,0.035776,0,35.31222633,-80.7409515,224,sats
3.3,0.04472,0,35.31222633,-80.74095183,224,sats
3.4,0.08944,0,35.31222617,-80.74095183,224.1,sats
3.5,0.10062,0,35.31222633,-80.74095217,224.2,sats
3.6,0.120744,0,35.31222617,-80.74095233,224.3,sats
3.7,0.0559,0,35.31222617,-80.74095267,224.3,sats
3.8,0.03354,0,35.31222617,-80.740953,224.4,sats
3.9,0.060372,0,35.31222617,-80.74095317,224.5,sats
4,0.183352,0,35.31222633,-80.7409535,224.6,sats
4.1,0.020124,0,35.31222617,-80.74095367,224.7,sats
4.2,0.053664,0,35.31222633,-80.74095367,224.8,sats
4.3,0.098384,0,35.31222633,-80.740954,224.9,sats
4.4,0.038012,0,35.31222633,-80.74095417,225,sats
4.5,0.08944,0,35.31222633,-80.74095433,225,sats
4.6,0.07826,0,35.3122265,-80.74095467,225.1,sats
4.7,0.020124,0,35.3122265,-80.74095483,225.2,sats
4.8,0.073788,0,35.3122265,-80.740955,225.3,sats
4.9,0.093912,0,35.3122265,-80.74095533,225.3,sats
5,0.042484,0,35.31222667,-80.7409555,225.4,sats
5.1,0.093912,0,35.31222667,-80.7409555,225.5,sats
5.2,0.087204,0,35.31222667,-80.74095583,225.5,sats
5.3,0.087204,0,35.31222667,-80.74095583,225.6,sats
5.4,0.058136,0,35.31222667,-80.740956,225.7,sats
5.5,0.093912,0,35.31222683,-80.74095633,225.7,sats
5.6,0.01118,0,35.31222683,-80.7409565,225.8,sats
5.7,0.064844,0,35.31222683,-80.74095667,225.8,sats
5.8,0.024596,0,35.312227,-80.74095683,225.9,sats
5.9,0.107328,0,35.31222683,-80.74095717,226,sats
6,0.051428,0,35.312227,-80.7409575,226.1,sats
6.1,0.049192,0,35.312227,-80.74095767,226.2,sats
6.2,0.026832,0,35.312227,-80.740958,226.3,sats
6.3,0.049192,0,35.312227,-80.74095833,226.3,sats
6.4,0.062608,0,35.312227,-80.74095867,226.4,sats
6.5,0.04472,0,35.31222717,-80.740959,226.5,sats
6.6,0.105092,0,35.31222733,-80.74095933,226.6,sats
6.7,0.017888,0,35.31222733,-80.74095967,226.6,sats
6.8,0.0559,0,35.31222733,-80.74096,226.7,sats
6.9,0.029068,0,35.3122275,-80.7409605,226.8,sats
7,0.073788,0,35.31222767,-80.74096083,226.8,sats
7.1,0.084968,0,35.31222767,-80.74096117,226.9,sats
7.2,0.093912,0,35.31222767,-80.74096167,227,sats
7.3,0.109564,0,35.31222767,-80.74096233,227.1,sats
7.4,0.064844,0,35.31222767,-80.74096283,227.2,sats
7.5,0.08944,0,35.31222767,-80.74096317,227.3,sats
7.6,0.04472,0,35.31222783,-80.74096367,227.4,sats
7.7,0.143104,0,35.31222783,-80.74096433,227.4,sats
7.8,0.060372,0,35.31222783,-80.74096467,227.5,sats
7.9,0.049192,0,35.31222783,-80.74096517,227.6,sats
8,0.031304,0,35.31222783,-80.7409655,227.7,sats
8.1,0.058136,0,35.31222783,-80.740966,227.7,sats
8.2,0.046956,0,35.31222783,-80.74096633,227.8,sats
8.3,0.020124,0,35.312228,-80.74096683,227.9,sats
8.4,0.131924,0,35.312228,-80.74096733,227.9,sats
8.5,0.058136,0,35.312228,-80.74096767,228,sats
8.6,0.04472,0,35.312228,-80.740968,228.1,sats
8.7,0.07826,0,35.31222817,-80.74096817,228.2,sats
8.8,0.125216,0,35.31222817,-80.74096833,228.2,sats
8.9,0.046956,0,35.31222833,-80.7409685,228.2,sats
9,0.073788,0,35.31222833,-80.74096883,228.3,sats
9.1,0.196768,0,35.31222833,-80.74096883,228.3,sats
9.2,0.046956,0,35.3122285,-80.74096917,228.4,sats
9.3,0.20124,0,35.31222833,-80.74096917,228.4,sats
9.4,0.0559,0,35.3122285,-80.7409695,228.4,sats
9.5,0.071552,0,35.31222867,-80.74096967,228.5,sats
9.6,0.176644,0,35.31222883,-80.74097,228.5,sats
9.7,0.080496,0,35.31222883,-80.74097017,228.6,sats
9.8,0.040248,0,35.31222883,-80.74097017,228.6,sats
9.9,0.129688,0,35.31222883,-80.74097033,228.7,sats
10,0.084968,0,35.31222883,-80.74097067,228.7,sats
10.1,0.060372,0,35.31222883,-80.74097083,228.7,sats
10.2,0.031304,0,35.312229,-80.740971,228.8,sats
