Time,Speed,GPStrack,Latitude,Longitude,GPSalt,GPSsats
,,,,,,
0.1,0.093912,0,35.31226383,-80.74081017,nan,sats
0.2,0.069316,0,35.312264,-80.74081033,nan,sats
0.3,0.069316,0,35.312264,-80.74081033,228,sats
0.4,0.087204,0,35.31226417,-80.74081033,nan,sats
0.5,0.058136,0,35.31226433,-80.7408105,nan,sats
0.6,0.058136,0,35.31226433,-80.7408105,228,sats
0.7,0.08944,0,35.3122645,-80.7408105,nan,sats
0.8,0.051428,0,35.31226467,-80.7408105,nan,sats
0.9,0.051428,0,35.31226467,-80.7408105,228,sats
1,0.080496,0,35.31226483,-80.74081067,nan,sats
1.1,0.125216,0,35.312265,-80.74081067,nan,sats
1.2,0.125216,0,35.312265,-80.74081067,227.9,sats
1.3,0.120744,0,35.31226533,-80.7408105,nan,sats
1.4,0.024596,0,35.3122655,-80.7408105,nan,sats
1.5,0.024596,0,35.3122655,-80.7408105,227.9,sats
1.6,0.06708,0,35.3122655,-80.74081067,nan,sats
1.7,0.07826,0,35.31226583,-80.74081067,nan,sats
1.8,0.07826,0,35.31226583,-80.74081067,227.9,sats
1.9,0.06708,0,35.31226583,-80.74081067,nan,sats
2,0.053664,0,35.312266,-80.74081083,nan,sats
2.1,0.053664,0,35.312266,-80.74081083,227.8,sats
2.2,0.046956,0,35.31226617,-80.74081067,nan,sats
2.3,0.07826,0,35.31226633,-80.74081083,nan,sats
2.4,0.07826,0,35.31226633,-80.74081083,227.9,sats
2.5,0.02236,0,35.3122665,-80.74081083,nan,sats
2.6,0.073788,0,35.31226667,-80.74081083,nan,sats
2.7,0.073788,0,35.31226667,-80.74081083,227.8,sats
2.8,0.058136,0,35.31226667,-80.74081083,nan,sats
2.9,0.0559,0,35.31226683,-80.74081083,nan,sats
3,0.0559,0,35.31226683,-80.74081083,227.8,sats
3.1,0.02236,0,35.312267,-80.740811,nan,sats
3.2,0.102856,0,35.31226717,-80.74081083,nan,sats
3.3,0.102856,0,35.31226717,-80.74081083,227.8,sats
3.4,0.0559,0,35.31226733,-80.740811,nan,sats
3.5,0.042484,0,35.31226733,-80.740811,nan,sats
3.6,0.042484,0,35.31226733,-80.740811,227.8,sats
3.7,0.064844,0,35.31226767,-80.740811,nan,sats
3.8,0.136396,0,35.31226783,-80.74081117,nan,sats
3.9,0.136396,0,35.31226783,-80.74081117,227.7,sats
4,0.051428,0,35.312268,-80.74081117,nan,sats
4.1,0.07826,0,35.312268,-80.74081117,nan,sats
4.2,0.07826,0,35.312268,-80.74081117,227.7,sats
4.3,0.143104,0,35.31226833,-80.74081133,nan,sats
4.4,0.076024,0,35.31226833,-80.74081117,nan,sats
4.5,0.076024,0,35.31226833,-80.74081117,227.7,sats
4.6,0.136396,0,35.31226867,-80.7408115,nan,sats
4.7,0.120744,0,35.31226867,-80.74081133,nan,sats
4.8,0.120744,0,35.31226867,-80.74081133,227.7,sats
4.9,0.13416,0,35.31226883,-80.74081133,nan,sats
5,0.102856,0,35.31226917,-80.74081133,nan,sats
5.1,0.102856,0,35.31226917,-80.74081133,227.7,sats
5.2,0.051428,0,35.31226933,-80.74081117,nan,sats
5.3,0.0559,0,35.3122695,-80.74081133,nan,sats
5.4,0.0559,0,35.3122695,-80.74081133,227.7,sats
5.5,0.017888,0,35.31226967,-80.74081117,nan,sats
5.6,0.14534,0,35.31226983,-80.74081117,nan,sats
5.7,0.14534,0,35.31226983,-80.74081117,227.7,sats
5.8,0.114036,0,35.31227,-80.74081133,nan,sats
5.9,0.147576,0,35.31227,-80.74081117,nan,sats
6,0.147576,0,35.31227,-80.74081117,227.6,sats
6.1,0.1677,0,35.31227017,-80.74081133,nan,sats
6.2,0.355524,0,35.3122705,-80.74081167,nan,sats
6.3,0.355524,0,35.3122705,-80.74081167,227.6,sats
6.4,0.143104,0,35.3122705,-80.74081167,nan,sats
6.5,0.06708,0,35.31227067,-80.74081167,nan,sats
6.6,0.06708,0,35.31227067,-80.74081167,227.6,sats
6.7,0.196768,0,35.312271,-80.74081183,nan,sats
6.8,0.152048,0,35.31227083,-80.740812,nan,sats
6.9,0.152048,0,35.31227083,-80.740812,227.5,sats
7,0.196768,0,35.31227083,-80.740812,nan,sats
7.1,0.107328,0,35.312271,-80.74081183,nan,sats
7.2,0.107328,0,35.312271,-80.74081183,227.5,sats
7.3,0.04472,0,35.312271,-80.740812,nan,sats
7.4,0.174408,0,35.312271,-80.74081167,nan,sats
7.5,0.174408,0,35.312271,-80.74081167,227.5,sats
7.6,0.049192,0,35.312271,-80.74081167,nan,sats
7.7,0.230308,0,35.31227083,-80.74081183,nan,sats
7.8,0.230308,0,35.31227083,-80.74081183,227.6,sats
7.9,0.375648,0,35.3122715,-80.74081167,nan,sats
8,0.172172,0,35.3122715,-80.74081183,nan,sats
8.1,0.172172,0,35.3122715,-80.74081183,227.5,sats
8.2,0.158756,0,35.31227167,-80.74081183,nan,sats
8.3,0.152048,0,35.31227183,-80.74081167,nan,sats
8.4,0.152048,0,35.31227183,-80.74081167,227.5,sats
8.5,0.03354,0,35.31227183,-80.74081167,nan,sats
8.6,0.158756,0,35.31227167,-80.74081167,nan,sats
8.7,0.158756,0,35.31227167,-80.74081167,227.5,sats
8.8,0.058136,0,35.31227167,-80.74081183,nan,sats
8.9,0.14534,0,35.31227167,-80.74081183,nan,sats
9,0.14534,0,35.31227167,-80.74081183,227.5,sats
9.1,0.07826,0,35.31227183,-80.74081183,nan,sats
9.2,0.029068,0,35.31227183,-80.74081183,nan,sats
9.3,0.029068,0,35.31227183,-80.74081183,227.5,sats
9.4,0.096148,0,35.31227183,-80.74081167,nan,sats
9.5,0.13416,0,35.31227183,-80.7408115,nan,sats
9.6,0.13416,0,35.31227183,-80.7408115,227.6,sats
9.7,0.071552,0,35.31227167,-80.74081133,nan,sats
9.8,0.281736,0,35.31227167,-80.740811,nan,sats
9.9,0.281736,0,35.31227167,-80.740811,227.7,sats
10,0.062608,0,35.3122715,-80.740811,nan,sats
10.1,0.12298,0,35.3122715,-80.74081083,nan,sats
10.2,0.12298,0,35.3122715,-80.74081083,227.8,sats
10.3,0.143104,0,35.3122715,-80.74081083,nan,sats
10.4,0.342108,0,35.31227117,-80.74081083,nan,sats
10.5,0.342108,0,35.31227117,-80.74081083,227.8,sats
10.6,0.149812,0,35.31227133,-80.74081083,nan,sats
10.7,0.326456,0,35.31227117,-80.740811,nan,sats
10.8,0.326456,0,35.31227117,-80.740811,227.8,sats
10.9,0.283972,0,35.31227117,-80.74081083,nan,sats
11,0.073788,0,35.3122715,-80.7408105,nan,sats
11.1,0.073788,0,35.3122715,-80.7408105,227.9,sats
11.2,0.06708,0,35.31227133,-80.7408105,nan,sats
11.3,0.046956,0,35.3122715,-80.7408105,nan,sats
11.4,0.046956,0,35.3122715,-80.7408105,227.9,sats
11.5,0.038012,0,35.3122715,-80.74081033,nan,sats
11.6,0.053664,0,35.31227167,-80.74081033,nan,sats
11.7,0.053664,0,35.31227167,-80.74081033,228,sats
11.8,0.149812,0,35.312272,-80.74081017,nan,sats
11.9,0.08944,0,35.31227183,-80.74081,nan,sats
12,0.08944,0,35.31227183,-80.74081,228,sats
12.1,0.107328,0,35.31227183,-80.74081,nan,sats
12.2,0.10062,0,35.3122715,-80.74081,nan,sats
12.3,0.10062,0,35.3122715,-80.74081,228.1,sats
12.4,0.136396,0,35.31227167,-80.74080967,nan,sats
12.5,0.10062,0,35.31227133,-80.74080967,nan,sats
12.6,0.10062,0,35.31227133,-80.74080967,228.1,sats
12.7,0.149812,0,35.31227117,-80.74080933,nan,sats
12.8,0.15652,0,35.312271,-80.74080933,nan,sats
12.9,0.15652,0,35.312271,-80.74080933,228.2,sats
13,0.038012,0,35.312271,-80.74080917,nan,sats
13.1,0.172172,0,35.31227067,-80.740809,nan,sats
13.2,0.172172,0,35.31227067,-80.740809,228.3,sats
13.3,0.248196,0,35.31227033,-80.740809,nan,sats
13.4,0.109564,0,35.31227033,-80.74080883,nan,sats
13.5,0.109564,0,35.31227033,-80.74080883,228.4,sats
13.6,0.107328,0,35.31227,-80.74080883,nan,sats
13.7,0.087204,0,35.31227,-80.74080867,nan,sats
13.8,0.087204,0,35.31227,-80.74080867,228.5,sats
13.9,0.114036,0,35.31226983,-80.7408085,nan,sats
14,0.205712,0,35.31226933,-80.74080833,nan,sats
14.1,0.205712,0,35.31226933,-80.74080833,228.6,sats
14.2,0.169936,0,35.312269,-80.74080817,nan,sats
14.3,0.042484,0,35.312269,-80.74080817,nan,sats
14.4,0.042484,0,35.312269,-80.74080817,228.8,sats
14.5,0.129688,0,35.31226933,-80.7408085,nan,sats
14.6,0.114036,0,35.31226883,-80.74080883,nan,sats
14.7,0.114036,0,35.31226883,-80.74080883,228.7,sats
14.8,0.020124,0,35.31226867,-80.74080883,nan,sats
14.9,0.10062,0,35.31226833,-80.74080883,nan,sats
15,0.10062,0,35.31226833,-80.74080883,228.8,sats
15.1,0.087204,0,35.312268,-80.74080917,nan,sats
15.2,0.30186,0,35.3122675,-80.74080933,nan,sats
15.3,0.30186,0,35.3122675,-80.74080933,229,sats
15.4,0.192296,0,35.31226767,-80.74080933,nan,sats
15.5,0.031304,0,35.31226717,-80.74080933,nan,sats
15.6,0.031304,0,35.31226717,-80.74080933,229.1,sats
15.7,0.181116,0,35.31226767,-80.74080917,nan,sats
15.8,0.203476,0,35.31226767,-80.7408095,nan,sats
15.9,0.203476,0,35.31226767,-80.7408095,229,sats
16,0.102856,0,35.31226733,-80.74080967,nan,sats
16.1,0.129688,0,35.312267,-80.74080983,nan,sats
16.2,0.129688,0,35.312267,-80.74080983,229.1,sats
16.3,0.2236,0,35.31226667,-80.74081,nan,sats
16.4,0.1118,0,35.31226617,-80.74081,nan,sats
16.5,0.1118,0,35.31226617,-80.74081,229.3,sats
16.6,0.084968,0,35.31226567,-80.74081,nan,sats
16.7,0.046956,0,35.31226533,-80.74081,nan,sats
16.8,0.046956,0,35.31226533,-80.74081,229.4,sats
16.9,0.084968,0,35.31226533,-80.74081017,nan,sats
17,0.096148,0,35.31226533,-80.74081033,nan,sats
17.1,0.096148,0,35.31226533,-80.74081033,229.4,sats
17.2,0.080496,0,35.31226533,-80.74081033,nan,sats
17.3,0.20124,0,35.31226467,-80.74081033,nan,sats
17.4,0.20124,0,35.31226467,-80.74081033,229.5,sats
17.5,0.120744,0,35.31226483,-80.74081067,nan,sats
17.6,0.160992,0,35.3122645,-80.74081083,nan,sats
17.7,0.160992,0,35.3122645,-80.74081083,229.5,sats
17.8,0.071552,0,35.3122645,-80.74081083,nan,sats
17.9,0.187824,0,35.31226433,-80.74081133,nan,sats
18,0.187824,0,35.31226433,-80.74081133,229.5,sats
18.1,0.348816,0,35.31226383,-80.74081133,nan,sats
18.2,0.163228,0,35.31226367,-80.74081167,nan,sats
18.3,0.163228,0,35.31226367,-80.74081167,229.5,sats
18.4,0.19006,0,35.31226333,-80.74081217,nan,sats
18.5,0.31304,0,35.31226283,-80.7408125,nan,sats
18.6,0.31304,0,35.31226283,-80.7408125,229.6,sats
18.7,0.199004,0,35.31226317,-80.74081267,nan,sats
18.8,0.091676,0,35.312263,-80.740813,nan,sats
18.9,0.091676,0,35.312263,-80.740813,229.6,sats
19,0.093912,0,35.3122625,-80.74081333,nan,sats
19.1,0.051428,0,35.31226233,-80.74081333,nan,sats
19.2,0.051428,0,35.31226233,-80.74081333,229.7,sats
19.3,0.060372,0,35.31226217,-80.7408135,nan,sats
19.4,0.069316,0,35.31226167,-80.74081367,nan,sats
19.5,0.069316,0,35.31226167,-80.74081367,229.8,sats
19.6,0.192296,0,35.31226167,-80.740814,nan,sats
19.7,0.163228,0,35.31226133,-80.74081417,nan,sats
19.8,0.163228,0,35.31226133,-80.74081417,229.9,sats
19.9,0.087204,0,35.31226083,-80.74081417,nan,sats
20,0.26832,0,35.31226033,-80.74081433,nan,sats
20.1,0.26832,0,35.31226033,-80.74081433,230,sats
20.2,0.051428,0,35.31226017,-80.7408145,nan,sats
20.3,0.07826,0,35.31225983,-80.74081467,nan,sats
20.4,0.07826,0,35.31225983,-80.74081467,230.2,sats
20.5,0.084968,0,35.31225933,-80.74081467,nan,sats
20.6,0.181116,0,35.31225883,-80.74081483,nan,sats
20.7,0.181116,0,35.31225883,-80.74081483,230.3,sats
20.8,0.062608,0,35.31225867,-80.740815,nan,sats
20.9,0.042484,0,35.31225833,-80.74081517,nan,sats
21,0.042484,0,35.31225833,-80.74081517,230.5,sats
21.1,0.1118,0,35.31225783,-80.74081533,nan,sats
21.2,0.277264,0,35.31225767,-80.7408155,nan,sats
21.3,0.277264,0,35.31225767,-80.7408155,230.7,sats
21.4,0.2236,0,35.31225733,-80.7408155,nan,sats
21.5,0.176644,0,35.31225683,-80.7408155,nan,sats
21.6,0.176644,0,35.31225683,-80.7408155,230.9,sats
21.7,0.19006,0,35.3122565,-80.74081567,nan,sats
21.8,0.26832,0,35.31225617,-80.740816,nan,sats
21.9,0.26832,0,35.31225617,-80.740816,231,sats
22,0.105092,0,35.31225583,-80.740816,nan,sats
22.1,0.035776,0,35.31225533,-80.740816,nan,sats
22.2,0.035776,0,35.31225533,-80.740816,231.2,sats
22.3,0.029068,0,35.31225483,-80.740816,nan,sats
22.4,0.087204,0,35.3122545,-80.74081617,nan,sats
22.5,0.087204,0,35.3122545,-80.74081617,231.3,sats
22.6,0.1118,0,35.31225417,-80.74081617,nan,sats
22.7,0.252668,0,35.3122535,-80.74081633,nan,sats
22.8,0.252668,0,35.3122535,-80.74081633,231.5,sats
22.9,0.20124,0,35.312253,-80.7408165,nan,sats
23,0.138632,0,35.31225233,-80.74081667,nan,sats
23.1,0.138632,0,35.31225233,-80.74081667,231.7,sats
23.2,0.105092,0,35.31225167,-80.74081683,nan,sats
23.3,0.06708,0,35.31225133,-80.74081717,nan,sats
23.4,0.06708,0,35.31225133,-80.74081717,231.9,sats
23.5,0.024596,0,35.31225083,-80.74081733,nan,sats
23.6,0.147576,0,35.31225017,-80.7408175,nan,sats
23.7,0.147576,0,35.31225017,-80.7408175,232.1,sats
23.8,0.026832,0,35.31225,-80.74081767,nan,sats
23.9,0.013416,0,35.31224967,-80.74081783,nan,sats
24,0.013416,0,35.31224967,-80.74081783,232.2,sats
24.1,0.221364,0,35.312249,-80.74081783,nan,sats
24.2,0.069316,0,35.31224883,-80.740818,nan,sats
24.3,0.069316,0,35.31224883,-80.740818,232.3,sats
24.4,0.107328,0,35.31224867,-80.74081833,nan,sats
24.5,0.138632,0,35.31224817,-80.7408185,nan,sats
24.6,0.138632,0,35.31224817,-80.7408185,232.4,sats
24.7,0.230308,0,35.3122475,-80.74081867,nan,sats
24.8,0.120744,0,35.31224733,-80.74081867,nan,sats
24.9,0.120744,0,35.31224733,-80.74081867,232.5,sats
25,0.12298,0,35.312247,-80.740819,nan,sats
25.1,0.04472,0,35.31224667,-80.740819,nan,sats
25.2,0.04472,0,35.31224667,-80.740819,232.6,sats
25.3,0.172172,0,35.31224617,-80.74081917,nan,sats
25.4,0.13416,0,35.31224583,-80.74081917,nan,sats
25.5,0.13416,0,35.31224583,-80.74081917,232.8,sats
25.6,0.051428,0,35.3122455,-80.7408195,nan,sats
25.7,0.163228,0,35.31224517,-80.74081967,nan,sats
25.8,0.163228,0,35.31224517,-80.74081967,232.9,sats
25.9,0.035776,0,35.31224483,-80.74081983,nan,sats
26,0.154284,0,35.3122445,-80.74082,nan,sats
26.1,0.154284,0,35.3122445,-80.74082,232.9,sats
26.2,0.160992,0,35.312244,-80.74082017,nan,sats
26.3,0.102856,0,35.31224383,-80.74082033,nan,sats
26.4,0.102856,0,35.31224383,-80.74082033,233,sats
26.5,0.029068,0,35.3122435,-80.7408205,nan,sats
26.6,0.069316,0,35.31224333,-80.74082067,nan,sats
